Date,Year,Month,Circle,Monument,Domestic_Visitors,Foreign_Visitors
2010-10-01,2010,October,Delhi,Safdarjung Tomb,4342,951
2010-10-01,2010,October,Delhi,Kotla Feroz Shah,5917,53
2010-10-01,2010,October,Delhi,Purana Qila,43382,359
2010-10-01,2010,October,Guwahati,Ahom Raja's Palace,2750,10
2010-10-01,2010,October,Guwahati,"Kareghar of Ahom Kings, Sibasagar",7989,38
2010-10-01,2010,October,Guwahati,"Ranghar Pavillion, Jaisagar",3778,29
2010-10-01,2010,October,Guwahati,Bishnudol,1116,6
2010-10-01,2010,October,Guwahati,"Group of four MaidansCharaideo, Sibasagar",1290,7
2010-10-01,2010,October,Goa,Upper Fort Aguada,43593,421
2010-10-01,2010,October,Hyderabad,Charminar,69762,472
2010-10-01,2010,October,Hyderabad,Golconda,110638,1395
2010-10-01,2010,October,Hyderabad,Warangal,4792,14
2010-10-01,2010,October,Jaipur,Ancient Site Bhangarh,10151,100
2010-10-01,2010,October,Jaipur,Baori at Abhaneri,3951,5070
2010-10-01,2010,October,Jaipur,Deeg Bhawan,1933,72
2010-10-01,2010,October,Jodhpur,Chittaurgarh Fort,32037,861
2010-10-01,2010,October,Jodhpur,Kumbhalgarh Fort,29781,673
2010-10-01,2010,October,Jodhpur,Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,12486,5
2010-10-01,2010,October,Leh,Ancient Palace Leh,3039,304
2010-10-01,2010,October,Patna,"Remains of Patliputra Site of Mauryan Palace, Kumrahar",7560,14
2010-10-01,2010,October,Patna,"Ancient site of Vaishali, Kolhua",6128,886
2010-10-01,2010,October,Patna,Excavated Remains at Nalanda,22351,1374
2010-10-01,2010,October,Patna,Ancient Site of Vikramshila Antichak,4467,29
2010-10-01,2010,October,Patna,Sher Shah's Tomb,13011,9
2010-10-01,2010,October,Raipur,Temple of Laxman and Old sites including sculptures sirpur,4247,6
2010-10-01,2010,October,Shimla,"Ruined Fort, kangra",5403,104
2010-10-01,2010,October,Shimla,Rock-cut Temples and Sculptures,4426,103
2010-10-01,2010,October,Srinagar,"Palace Complex at Ramnagar, Distt. Udhampur",395,0
2010-10-01,2010,October,Srinagar,"Avantiswamin Temple, Avantipur, District Pulwama",626,2
2010-10-01,2010,October,Srinagar,"Group of Temples at kiramchi, District Udhampur",306,0
2010-10-01,2010,October,Amaravati,Amaravati mahastupa,414,14
2010-10-01,2010,October,Amaravati,Undavalli caves,6180,27
2010-10-01,2010,October,Amaravati,Nagarjuna Kunda,1258,2
2010-10-01,2010,October,Amaravati,Chandragiri Monument,5653,5
2010-10-01,2010,October,Amaravati,"Buddhist Remains on hill top at Guntupalli, W.G.District",1410,5
2010-11-01,2010,November,Agra,Taj Mahal,303250,44184
2010-11-01,2010,November,Agra,Agra Fort,85735,20365
2010-11-01,2010,November,Agra,Fatehpur Sikri,28674,11659
2010-11-01,2010,November,Agra,Akbar Tomb Sikandra,13524,1157
2010-11-01,2010,November,Agra,Mariam tomb Sikandra,1500,27
2010-11-01,2010,November,Agra,Itimad-ud-Daulah-Tomb,7196,4480
2010-11-01,2010,November,Agra,Ram Bagh,5334,22
2010-11-01,2010,November,Agra,Mehtab Bagh,11801,4118
2010-11-01,2010,November,Agra,Mausoleum,32264,852
2010-11-01,2010,November,Lucknow,Site of Sahet mahet,4721,862
2010-11-01,2010,November,Lucknow,Residency Building,6974,201
2010-11-01,2010,November,Lucknow,Piprahwa & Ganwaria,2381,192
2010-11-01,2010,November,Jhansi,"Gupta Temple & Varah Temple, Deogarh",89,2
2010-11-01,2010,November,Jhansi,Kalinjar Fort,4994,8
2010-11-01,2010,November,Jhansi,Rani Lakshmi Bai Mahal,822,2
2010-11-01,2010,November,Jhansi,Rani Jhansi Fort,24480,47
2010-11-01,2010,November,Sarnath,Lord Cornwallis Tomb,1161,5
2010-11-01,2010,November,Sarnath,"Old Fort (Shahi Fort), Jaunpur",12567,7
2010-11-01,2010,November,Sarnath,Observatory of Man Singh,4558,52
2010-11-01,2010,November,Sarnath,Excavated Remains at sarnath,30506,6323
2010-11-01,2010,November,Sarnath,Tomb of Lal Khan,396,0
2010-11-01,2010,November,Sarnath,Ancient Buddhist Site known as Chaukhandi stupa,3458,325
2010-11-01,2010,November,Thrissur,"Bekal Fort, Pallikkare, Distt. Kasargod",17719,38
2010-11-01,2010,November,Thrissur,mattancherry Palace Museum Kochi,18881,4986
2010-11-01,2010,November,Thrissur,"Fort, Palakkad, Palakkad",12044,16
2010-11-01,2010,November,Thrissur,"Fort St. Angelo, Kannur",12163,171
2010-11-01,2010,November,Chennai,Group of Monuments Mamallapuram,86446,3664
2010-11-01,2010,November,Chennai,"Gingee Fort , Gingee",6244,101
2010-11-01,2010,November,Chennai,"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",2915,70
2010-11-01,2010,November,Tiruchirappalli,"Fort on Rock, Dindigual",1604,6
2010-11-01,2010,November,Tiruchirappalli,"Moovarkoil, Kodumbalur",1169,2
2010-11-01,2010,November,Tiruchirappalli,"Rock-cut Jain Temple, Sittannavasasl",2049,12
2010-11-01,2010,November,Tiruchirappalli,Tirumalai Nayak's Palace Srivilliputhur,2007,30
2010-11-01,2010,November,Tiruchirappalli,"Natural Caven with inscription eladipattam, Sittannavasal",1394,37
2010-11-01,2010,November,Tiruchirappalli,"Fort Museum, Thirumayam",16771,299
2010-11-01,2010,November,Tiruchirappalli,Fort Vattakottai,10050,21
2010-11-01,2010,November,Bhopal,Buddhist Caves,1305,2
2010-11-01,2010,November,Bhopal,"The palace situated in the fort, Burhanpur",3061,17
2010-11-01,2010,November,Bhopal,Hoshang Shah's Tomb,8503,131
2010-11-01,2010,November,Bhopal,"Group of monument, Royal Palace Mandu",24024,142
2010-11-01,2010,November,Bhopal,Roopmati's Pavilion,25794,123
2010-11-01,2010,November,Bhopal,"Buddhist Monuments, Sanchi",13328,211
2010-11-01,2010,November,Bhopal,Gwalior Fort,15548,470
2010-11-01,2010,November,Bhopal,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",1664,0
2010-11-01,2010,November,Bhopal,"Badal Mahal Gatwway, Chanderi",779,5
2010-11-01,2010,November,Bhopal,Caves 1 t0 20 Udaygiri Vidisha,3084,42
2010-11-01,2010,November,Bhopal,Bir Singh Palace Datia,1359,42
2010-11-01,2010,November,Jabalpur,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",1483,1
2010-11-01,2010,November,Jabalpur,"Western Group of Temples, Khajuraho",14208,2420
2010-11-01,2010,November,Jabalpur,"Group of Temple Parameshvar shiv and Karan Temple, Amarkantak",3391,2
2010-11-01,2010,November,Dharwad,Durga temple complex Aihole,10323,212
2010-11-01,2010,November,Dharwad,"Jaina & Vaishnava Cave, Badami",21474,390
2010-11-01,2010,November,Dharwad,Group of Monuments (WH) Pattadakal,14441,237
2010-11-01,2010,November,Dharwad,"Gol Gumbaz, Vijayapura",42583,88
2010-11-01,2010,November,Dharwad,"Ibrahim Rauza, Bijapur",9623,79
2010-11-01,2010,November,Dharwad,"Temples & Sculpture Shed, lakkumdi",820,5
2010-11-01,2010,November,Hampi,"Group of Monuments, Hampi",36497,1678
2010-11-01,2010,November,Hampi,Bellary Fort,1704,3
2010-11-01,2010,November,Banglore,Dariya Daulath Bagh,37394,810
2010-11-01,2010,November,Banglore,Keshava Temple,11872,575
2010-11-01,2010,November,Banglore,Palace of Tipu Sultan,15506,646
2010-11-01,2010,November,Banglore,Fortress and Temple Chitrudurga Fort,20173,65
2010-11-01,2010,November,Raiganj,Cooch Bihar Palace,23958,2
2010-11-01,2010,November,Raiganj,Hazarduari Palace,38520,98
2010-11-01,2010,November,Kolkata,Bishnupur Temples,8964,29
2010-11-01,2010,November,Kolkata,Metcelf-Hall,35,1
2010-11-01,2010,November,Rajkot,"Asokan Rock Edict, Jungadh",379,10
2010-11-01,2010,November,Rajkot,"Buddhish Caves, Junagadh",1136,48
2010-11-01,2010,November,Rajkot,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",362,8
2010-11-01,2010,November,Vadodara,"Champaner Monuments, Pavagadh",3847,126
2010-11-01,2010,November,Vadodara,"Sun temple, Modhera",13653,244
2010-11-01,2010,November,Vadodara,"Rani Ki-Vav, Patan",21551,243
2010-11-01,2010,November,Vadodara,"Rudabai Step Well, Adalaj",26464,539
2010-11-01,2010,November,Bhubaneswar,"Sun Temple, Konark",102524,271
2010-11-01,2010,November,Bhubaneswar,Ancient Remains on both Udaigiri & Khandagiri Hills,16963,135
2010-11-01,2010,November,Bhubaneswar,Rajarani Temple,865,25
2010-11-01,2010,November,Bhubaneswar,The Hill Containing Many Valuable Sculptures and Images Ratnagiri,2165,35
2010-11-01,2010,November,Bhubaneswar,Ruins of Buddhist Temples and Images lalitgiri,2993,26
2010-11-01,2010,November,Aurangabad,Ajanta Caves,15138,880
2010-11-01,2010,November,Aurangabad,Ellora Caves,85235,1450
2010-11-01,2010,November,Aurangabad,Tomb of Rabia Durani (Bibi ka Maqbara),57906,496
2010-11-01,2010,November,Aurangabad,Daulatabad Fort,34990,388
2010-11-01,2010,November,Aurangabad,Pandulena Caves,11630,64
2010-11-01,2010,November,Aurangabad,Aurangabad Caves,9615,142
2010-11-01,2010,November,Mumbai,Elephanta Caves,41037,2263
2010-11-01,2010,November,Mumbai,Buddhist Caves Kanheri,22349,673
2010-11-01,2010,November,Mumbai,Shaniwarwada,63316,477
2010-11-01,2010,November,Mumbai,Aga  Khan Palace Building,12433,523
2010-11-01,2010,November,Mumbai,"Cave, Temple and Inscriptions, Junaar, Lenyadri",23232,6
2010-11-01,2010,November,Mumbai,"Caves, Temples and inscriptions Karla",13340,125
2010-11-01,2010,November,Mumbai,"Cave Temple & Inscriptions, Bhaja",4546,105
2010-11-01,2010,November,Mumbai,Raigad Fort,13533,5
2010-11-01,2010,November,Mumbai,"Kolaba Fort, Alibag",7181,7
2010-11-01,2010,November,Mumbai,"Old Fort, Sholapur",3479,2
2010-11-01,2010,November,Mumbai,"Janjira Fort, Murd",14804,8
2010-11-01,2010,November,Mumbai,Kondiote Caves,2207,31
2010-11-01,2010,November,Mumbai,Lohgad Fort,8771,31
2010-11-01,2010,November,Nagpur,Gawilgarh Fort,2770,0
2010-11-01,2010,November,Nagpur,"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",86,3
2010-11-01,2010,November,Chandigarh,Suraj Kund,5528,4
2010-11-01,2010,November,Chandigarh,Sheikh Chilli's Tomb,2535,2
2010-11-01,2010,November,Delhi,Khan-I-Khana,94,2
2010-11-01,2010,November,Delhi,Sultanghari Tomb,32,0
2010-11-01,2010,November,Delhi,Tughluqabad,4234,50
2010-11-01,2010,November,Delhi,Red Fort,150334,6243
2010-11-01,2010,November,Delhi,Humayun Tomb,39304,12077
2010-11-01,2010,November,Delhi,Qutub Minar,134169,16725
2010-11-01,2010,November,Delhi,Hauzkhas,8864,159
2010-11-01,2010,November,Delhi,Jantar Mantar,10521,337
2010-11-01,2010,November,Delhi,Safdarjung Tomb,4551,996
2010-11-01,2010,November,Delhi,Kotla Feroz Shah,6090,55
2010-11-01,2010,November,Delhi,Purana Qila,40949,339
2010-11-01,2010,November,Guwahati,Ahom Raja's Palace,2938,11
2010-11-01,2010,November,Guwahati,"Kareghar of Ahom Kings, Sibasagar",8023,38
2010-11-01,2010,November,Guwahati,"Ranghar Pavillion, Jaisagar",3805,30
2010-11-01,2010,November,Guwahati,Bishnudol,1154,6
2010-11-01,2010,November,Guwahati,"Group of four MaidansCharaideo, Sibasagar",1432,8
2010-11-01,2010,November,Goa,Upper Fort Aguada,48931,473
2010-11-01,2010,November,Hyderabad,Charminar,76162,515
2010-11-01,2010,November,Hyderabad,Golconda,109564,1382
2010-11-01,2010,November,Hyderabad,Warangal,5316,15
2010-11-01,2010,November,Jaipur,Ancient Site Bhangarh,10546,104
2010-11-01,2010,November,Jaipur,Baori at Abhaneri,4346,5576
2010-11-01,2010,November,Jaipur,Deeg Bhawan,1595,59
2010-11-01,2010,November,Jodhpur,Chittaurgarh Fort,37189,999
2010-11-01,2010,November,Jodhpur,Kumbhalgarh Fort,29036,657
2010-11-01,2010,November,Jodhpur,Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,15205,6
2010-11-01,2010,November,Leh,Ancient Palace Leh,2985,298
2010-11-01,2010,November,Patna,"Remains of Patliputra Site of Mauryan Palace, Kumrahar",6842,12
2010-11-01,2010,November,Patna,"Ancient site of Vaishali, Kolhua",5300,766
2010-11-01,2010,November,Patna,Excavated Remains at Nalanda,26932,1656
2010-11-01,2010,November,Patna,Ancient Site of Vikramshila Antichak,3542,23
2010-11-01,2010,November,Patna,Sher Shah's Tomb,13378,9
2010-11-01,2010,November,Raipur,Temple of Laxman and Old sites including sculptures sirpur,4241,6
2010-11-01,2010,November,Shimla,"Ruined Fort, kangra",5012,96
2010-11-01,2010,November,Shimla,Rock-cut Temples and Sculptures,3871,90
2010-11-01,2010,November,Srinagar,"Palace Complex at Ramnagar, Distt. Udhampur",339,0
2010-11-01,2010,November,Srinagar,"Avantiswamin Temple, Avantipur, District Pulwama",621,2
2010-11-01,2010,November,Srinagar,"Group of Temples at kiramchi, District Udhampur",354,0
2010-11-01,2010,November,Amaravati,Amaravati mahastupa,489,17
2010-11-01,2010,November,Amaravati,Undavalli caves,6031,27
2010-11-01,2010,November,Amaravati,Nagarjuna Kunda,1146,2
2010-11-01,2010,November,Amaravati,Chandragiri Monument,6385,6
2010-11-01,2010,November,Amaravati,"Buddhist Remains on hill top at Guntupalli, W.G.District",1339,5
2010-12-01,2010,December,Agra,Taj Mahal,304676,44391
2010-12-01,2010,December,Agra,Agra Fort,86981,20661
2010-12-01,2010,December,Agra,Fatehpur Sikri,28858,11734
2010-12-01,2010,December,Agra,Akbar Tomb Sikandra,13361,1143
2010-12-01,2010,December,Agra,Mariam tomb Sikandra,1321,24
2010-12-01,2010,December,Agra,Itimad-ud-Daulah-Tomb,8488,5285
2010-12-01,2010,December,Agra,Ram Bagh,5334,22
2010-12-01,2010,December,Agra,Mehtab Bagh,12293,4290
2010-12-01,2010,December,Agra,Mausoleum,25294,668
2010-12-01,2010,December,Lucknow,Site of Sahet mahet,3944,720
2010-12-01,2010,December,Lucknow,Residency Building,7450,215
2010-12-01,2010,December,Lucknow,Piprahwa & Ganwaria,2354,190
2010-12-01,2010,December,Jhansi,"Gupta Temple & Varah Temple, Deogarh",75,1
2010-12-01,2010,December,Jhansi,Kalinjar Fort,4273,7
2010-12-01,2010,December,Jhansi,Rani Lakshmi Bai Mahal,838,2
2010-12-01,2010,December,Jhansi,Rani Jhansi Fort,24241,47
2010-12-01,2010,December,Sarnath,Lord Cornwallis Tomb,997,4
2010-12-01,2010,December,Sarnath,"Old Fort (Shahi Fort), Jaunpur",11302,6
2010-12-01,2010,December,Sarnath,Observatory of Man Singh,4574,52
2010-12-01,2010,December,Sarnath,Excavated Remains at sarnath,27851,5772
2010-12-01,2010,December,Sarnath,Tomb of Lal Khan,356,0
2010-12-01,2010,December,Sarnath,Ancient Buddhist Site known as Chaukhandi stupa,3327,312
2010-12-01,2010,December,Thrissur,"Bekal Fort, Pallikkare, Distt. Kasargod",17484,38
2010-12-01,2010,December,Thrissur,mattancherry Palace Museum Kochi,19652,5190
2010-12-01,2010,December,Thrissur,"Fort, Palakkad, Palakkad",9638,13
2010-12-01,2010,December,Thrissur,"Fort St. Angelo, Kannur",14239,200
2010-12-01,2010,December,Chennai,Group of Monuments Mamallapuram,84244,3570
2010-12-01,2010,December,Chennai,"Gingee Fort , Gingee",6715,108
2010-12-01,2010,December,Chennai,"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",2649,64
2010-12-01,2010,December,Tiruchirappalli,"Fort on Rock, Dindigual",1401,5
2010-12-01,2010,December,Tiruchirappalli,"Moovarkoil, Kodumbalur",1089,2
2010-12-01,2010,December,Tiruchirappalli,"Rock-cut Jain Temple, Sittannavasasl",2009,11
2010-12-01,2010,December,Tiruchirappalli,Tirumalai Nayak's Palace Srivilliputhur,2070,31
2010-12-01,2010,December,Tiruchirappalli,"Natural Caven with inscription eladipattam, Sittannavasal",1505,40
2010-12-01,2010,December,Tiruchirappalli,"Fort Museum, Thirumayam",17996,321
2010-12-01,2010,December,Tiruchirappalli,Fort Vattakottai,10231,21
2010-12-01,2010,December,Bhopal,Buddhist Caves,1182,2
2010-12-01,2010,December,Bhopal,"The palace situated in the fort, Burhanpur",2463,14
2010-12-01,2010,December,Bhopal,Hoshang Shah's Tomb,7951,123
2010-12-01,2010,December,Bhopal,"Group of monument, Royal Palace Mandu",27861,165
2010-12-01,2010,December,Bhopal,Roopmati's Pavilion,21255,102
2010-12-01,2010,December,Bhopal,"Buddhist Monuments, Sanchi",15899,252
2010-12-01,2010,December,Bhopal,Gwalior Fort,13967,422
2010-12-01,2010,December,Bhopal,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",1975,0
2010-12-01,2010,December,Bhopal,"Badal Mahal Gatwway, Chanderi",722,4
2010-12-01,2010,December,Bhopal,Caves 1 t0 20 Udaygiri Vidisha,3164,43
2010-12-01,2010,December,Bhopal,Bir Singh Palace Datia,1510,47
2010-12-01,2010,December,Jabalpur,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",1337,1
2010-12-01,2010,December,Jabalpur,"Western Group of Temples, Khajuraho",15426,2628
2010-12-01,2010,December,Jabalpur,"Group of Temple Parameshvar shiv and Karan Temple, Amarkantak",3749,2
2010-12-01,2010,December,Dharwad,Durga temple complex Aihole,12642,260
2010-12-01,2010,December,Dharwad,"Jaina & Vaishnava Cave, Badami",20545,373
2010-12-01,2010,December,Dharwad,Group of Monuments (WH) Pattadakal,15253,250
2010-12-01,2010,December,Dharwad,"Gol Gumbaz, Vijayapura",43744,90
2010-12-01,2010,December,Dharwad,"Ibrahim Rauza, Bijapur",10712,88
2010-12-01,2010,December,Dharwad,"Temples & Sculpture Shed, lakkumdi",881,6
2010-12-01,2010,December,Hampi,"Group of Monuments, Hampi",35656,1639
2010-12-01,2010,December,Hampi,Bellary Fort,1900,3
2010-12-01,2010,December,Banglore,Dariya Daulath Bagh,39037,846
2010-12-01,2010,December,Banglore,Keshava Temple,11102,538
2010-12-01,2010,December,Banglore,Palace of Tipu Sultan,13517,563
2010-12-01,2010,December,Banglore,Fortress and Temple Chitrudurga Fort,21855,70
2010-12-01,2010,December,Raiganj,Cooch Bihar Palace,24813,2
2010-12-01,2010,December,Raiganj,Hazarduari Palace,44403,113
2010-12-01,2010,December,Kolkata,Bishnupur Temples,10085,32
2010-12-01,2010,December,Kolkata,Metcelf-Hall,38,1
2010-12-01,2010,December,Rajkot,"Asokan Rock Edict, Jungadh",318,8
2010-12-01,2010,December,Rajkot,"Buddhish Caves, Junagadh",1058,44
2010-12-01,2010,December,Rajkot,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",326,7
2010-12-01,2010,December,Vadodara,"Champaner Monuments, Pavagadh",3414,111
2010-12-01,2010,December,Vadodara,"Sun temple, Modhera",10937,196
2010-12-01,2010,December,Vadodara,"Rani Ki-Vav, Patan",22879,258
2010-12-01,2010,December,Vadodara,"Rudabai Step Well, Adalaj",23658,482
2010-12-01,2010,December,Bhubaneswar,"Sun Temple, Konark",112853,299
2010-12-01,2010,December,Bhubaneswar,Ancient Remains on both Udaigiri & Khandagiri Hills,18089,144
2010-12-01,2010,December,Bhubaneswar,Rajarani Temple,998,29
2010-12-01,2010,December,Bhubaneswar,The Hill Containing Many Valuable Sculptures and Images Ratnagiri,2136,35
2010-12-01,2010,December,Bhubaneswar,Ruins of Buddhist Temples and Images lalitgiri,2686,23
2010-12-01,2010,December,Aurangabad,Ajanta Caves,18464,1073
2010-12-01,2010,December,Aurangabad,Ellora Caves,75486,1284
2010-12-01,2010,December,Aurangabad,Tomb of Rabia Durani (Bibi ka Maqbara),76555,656
2010-12-01,2010,December,Aurangabad,Daulatabad Fort,34219,379
2010-12-01,2010,December,Aurangabad,Pandulena Caves,11107,61
2010-12-01,2010,December,Aurangabad,Aurangabad Caves,12332,182
2010-12-01,2010,December,Mumbai,Elephanta Caves,36468,2011
2010-12-01,2010,December,Mumbai,Buddhist Caves Kanheri,26404,795
2010-12-01,2010,December,Mumbai,Shaniwarwada,65260,492
2010-12-01,2010,December,Mumbai,Aga  Khan Palace Building,14692,618
2010-12-01,2010,December,Mumbai,"Cave, Temple and Inscriptions, Junaar, Lenyadri",23648,6
2010-12-01,2010,December,Mumbai,"Caves, Temples and inscriptions Karla",14395,135
2010-12-01,2010,December,Mumbai,"Cave Temple & Inscriptions, Bhaja",5238,122
2010-12-01,2010,December,Mumbai,Raigad Fort,12332,4
2010-12-01,2010,December,Mumbai,"Kolaba Fort, Alibag",5896,5
2010-12-01,2010,December,Mumbai,"Old Fort, Sholapur",3625,2
2010-12-01,2010,December,Mumbai,"Janjira Fort, Murd",13710,8
2010-12-01,2010,December,Mumbai,Kondiote Caves,2634,37
2010-12-01,2010,December,Mumbai,Lohgad Fort,9251,33
2010-12-01,2010,December,Nagpur,Gawilgarh Fort,3002,0
2010-12-01,2010,December,Nagpur,"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",99,4
2010-12-01,2010,December,Chandigarh,Suraj Kund,6017,4
2010-12-01,2010,December,Chandigarh,Sheikh Chilli's Tomb,2122,2
2010-12-01,2010,December,Delhi,Khan-I-Khana,118,2
2010-12-01,2010,December,Delhi,Sultanghari Tomb,35,0
2010-12-01,2010,December,Delhi,Tughluqabad,4550,54
2010-12-01,2010,December,Delhi,Red Fort,136210,5656
2010-12-01,2010,December,Delhi,Humayun Tomb,42637,13101
2010-12-01,2010,December,Delhi,Qutub Minar,110901,13824
2010-12-01,2010,December,Delhi,Hauzkhas,8739,157
2010-12-01,2010,December,Delhi,Jantar Mantar,11821,379
2010-12-01,2010,December,Delhi,Safdarjung Tomb,3912,856
2010-12-01,2010,December,Delhi,Kotla Feroz Shah,5150,46
2010-12-01,2010,December,Delhi,Purana Qila,34590,286
2010-12-01,2010,December,Guwahati,Ahom Raja's Palace,2300,9
2010-12-01,2010,December,Guwahati,"Kareghar of Ahom Kings, Sibasagar",6407,30
2010-12-01,2010,December,Guwahati,"Ranghar Pavillion, Jaisagar",4719,37
2010-12-01,2010,December,Guwahati,Bishnudol,1282,7
2010-12-01,2010,December,Guwahati,"Group of four MaidansCharaideo, Sibasagar",1580,9
2010-12-01,2010,December,Goa,Upper Fort Aguada,49255,476
2010-12-01,2010,December,Hyderabad,Charminar,65214,441
2010-12-01,2010,December,Hyderabad,Golconda,98005,1236
2010-12-01,2010,December,Hyderabad,Warangal,5460,16
2010-12-01,2010,December,Jaipur,Ancient Site Bhangarh,10095,100
2010-12-01,2010,December,Jaipur,Baori at Abhaneri,4178,5361
2010-12-01,2010,December,Jaipur,Deeg Bhawan,1564,58
2010-12-01,2010,December,Jodhpur,Chittaurgarh Fort,35124,943
2010-12-01,2010,December,Jodhpur,Kumbhalgarh Fort,31055,702
2010-12-01,2010,December,Jodhpur,Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,12966,5
2010-12-01,2010,December,Leh,Ancient Palace Leh,2951,295
2010-12-01,2010,December,Patna,"Remains of Patliputra Site of Mauryan Palace, Kumrahar",7153,13
2010-12-01,2010,December,Patna,"Ancient site of Vaishali, Kolhua",5313,768
2010-12-01,2010,December,Patna,Excavated Remains at Nalanda,22770,1400
2010-12-01,2010,December,Patna,Ancient Site of Vikramshila Antichak,4518,30
2010-12-01,2010,December,Patna,Sher Shah's Tomb,10833,7
2010-12-01,2010,December,Raipur,Temple of Laxman and Old sites including sculptures sirpur,4049,6
2010-12-01,2010,December,Shimla,"Ruined Fort, kangra",6273,120
2010-12-01,2010,December,Shimla,Rock-cut Temples and Sculptures,4061,94
2010-12-01,2010,December,Srinagar,"Palace Complex at Ramnagar, Distt. Udhampur",354,0
2010-12-01,2010,December,Srinagar,"Avantiswamin Temple, Avantipur, District Pulwama",528,1
2010-12-01,2010,December,Srinagar,"Group of Temples at kiramchi, District Udhampur",323,0
2010-12-01,2010,December,Amaravati,Amaravati mahastupa,424,15
2010-12-01,2010,December,Amaravati,Undavalli caves,6936,31
2010-12-01,2010,December,Amaravati,Nagarjuna Kunda,1030,1
2010-12-01,2010,December,Amaravati,Chandragiri Monument,6226,6
2010-12-01,2010,December,Amaravati,"Buddhist Remains on hill top at Guntupalli, W.G.District",1541,5
2011-01-01,2011,January,Agra,Taj Mahal,312358,45511
2011-01-01,2011,January,Agra,Agra Fort,108485,25770
2011-01-01,2011,January,Agra,Fatehpur Sikri,27580,11214
2011-01-01,2011,January,Agra,Akbar Tomb Sikandra,15324,1311
2011-01-01,2011,January,Agra,Mariam tomb Sikandra,1462,26
2011-01-01,2011,January,Agra,Itimad-ud-Daulah-Tomb,8368,5210
2011-01-01,2011,January,Agra,Ram Bagh,4816,20
2011-01-01,2011,January,Agra,Mehtab Bagh,12842,4482
2011-01-01,2011,January,Agra,Mausoleum,30115,795
2011-01-01,2011,January,Lucknow,Site of Sahet mahet,4366,797
2011-01-01,2011,January,Lucknow,Residency Building,7200,208
2011-01-01,2011,January,Lucknow,Piprahwa & Ganwaria,2407,194
2011-01-01,2011,January,Jhansi,"Gupta Temple & Varah Temple, Deogarh",95,2
2011-01-01,2011,January,Jhansi,Kalinjar Fort,5620,9
2011-01-01,2011,January,Jhansi,Rani Lakshmi Bai Mahal,1111,3
2011-01-01,2011,January,Jhansi,Rani Jhansi Fort,19867,38
2011-01-01,2011,January,Sarnath,Lord Cornwallis Tomb,1150,5
2011-01-01,2011,January,Sarnath,"Old Fort (Shahi Fort), Jaunpur",12747,7
2011-01-01,2011,January,Sarnath,Observatory of Man Singh,4580,52
2011-01-01,2011,January,Sarnath,Excavated Remains at sarnath,29021,6015
2011-01-01,2011,January,Sarnath,Tomb of Lal Khan,473,0
2011-01-01,2011,January,Sarnath,Ancient Buddhist Site known as Chaukhandi stupa,3166,297
2011-01-01,2011,January,Thrissur,"Bekal Fort, Pallikkare, Distt. Kasargod",21807,47
2011-01-01,2011,January,Thrissur,mattancherry Palace Museum Kochi,17708,4677
2011-01-01,2011,January,Thrissur,"Fort, Palakkad, Palakkad",9604,13
2011-01-01,2011,January,Thrissur,"Fort St. Angelo, Kannur",13939,196
2011-01-01,2011,January,Chennai,Group of Monuments Mamallapuram,92818,3934
2011-01-01,2011,January,Chennai,"Gingee Fort , Gingee",7524,121
2011-01-01,2011,January,Chennai,"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",3206,77
2011-01-01,2011,January,Tiruchirappalli,"Fort on Rock, Dindigual",1583,6
2011-01-01,2011,January,Tiruchirappalli,"Moovarkoil, Kodumbalur",1087,2
2011-01-01,2011,January,Tiruchirappalli,"Rock-cut Jain Temple, Sittannavasasl",2083,12
2011-01-01,2011,January,Tiruchirappalli,Tirumalai Nayak's Palace Srivilliputhur,1909,29
2011-01-01,2011,January,Tiruchirappalli,"Natural Caven with inscription eladipattam, Sittannavasal",1701,45
2011-01-01,2011,January,Tiruchirappalli,"Fort Museum, Thirumayam",16709,298
2011-01-01,2011,January,Tiruchirappalli,Fort Vattakottai,10242,21
2011-01-01,2011,January,Bhopal,Buddhist Caves,1148,2
2011-01-01,2011,January,Bhopal,"The palace situated in the fort, Burhanpur",2888,16
2011-01-01,2011,January,Bhopal,Hoshang Shah's Tomb,8980,139
2011-01-01,2011,January,Bhopal,"Group of monument, Royal Palace Mandu",26123,155
